일시,기온,강수량,풍속,습도,일조,일사,적설,전운량,지면온도
2022_11_21@7,14.4,,1.2,96.0,,,,8.0,13.7
2022_11_21@8,14.3,,2.1,95.0,0.0,0.01,,7.0,13.7
2022_11_21@9,15.8,,0.7,90.0,0.4,0.42,,8.0,15.3
2022_11_21@10,18.2,,2.3,78.0,0.8,0.9,,7.0,18.7
2022_11_21@11,19.2,,2.7,73.0,0.9,1.34,,8.0,21.0
2022_11_21@12,19.4,,4.5,72.0,1.0,1.98,,3.0,23.0
2022_11_21@13,19.6,,4.4,72.0,1.0,2.18,,3.0,24.0
2022_11_21@14,19.4,,4.3,73.0,1.0,2.04,,5.0,23.4
2022_11_21@15,19.4,,4.1,70.0,1.0,1.84,,4.0,22.9
2022_11_21@16,19.0,,3.0,71.0,1.0,1.08,,7.0,19.9
2022_11_21@17,17.7,,1.8,74.0,0.9,0.39,,3.0,17.6
2022_11_21@18,16.5,,1.1,79.0,0.1,0.04,,1.0,16.0
2022_11_21@19,15.7,,1.6,80.0,,,,1.0,15.0
2022_11_21@20,14.5,,1.0,68.0,,,,3.0,14.0
2022_11_21@21,14.5,,1.7,64.0,,,,2.0,13.4
2022_11_21@22,14.1,,1.1,71.0,,,,7.0,13.0
2022_11_21@23,14.2,,2.4,62.0,,,,10.0,13.2
2022_11_22@0,14.3,,2.4,62.0,,,,5.0,13.2
2022_11_22@1,14.1,,2.4,70.0,,,,7.0,12.7
2022_11_22@2,13.9,,2.2,67.0,,,,10.0,12.9
2022_11_22@3,13.9,,1.9,64.0,,,,7.0,12.5
2022_11_22@4,14.5,,2.0,65.0,,,,7.0,12.8
2022_11_22@5,14.3,,1.7,70.0,,,,10.0,12.9
2022_11_22@6,14.3,,1.1,79.0,,,,10.0,13.1
2022_11_22@7,14.6,,0.9,79.0,,,,10.0,13.4
2022_11_22@8,15.0,,1.6,77.0,0.0,0.03,,10.0,13.7
2022_11_22@9,16.1,,2.6,75.0,0.0,0.17,,10.0,14.7
2022_11_22@10,16.4,,2.4,75.0,0.0,0.2,,10.0,15.2
2022_11_22@11,17.2,,1.8,71.0,0.0,0.28,,10.0,16.0
2022_11_22@12,17.7,0.0,1.9,74.0,0.0,0.23,,10.0,16.6
2022_11_22@13,18.2,,2.2,73.0,0.0,0.4,,10.0,17.5
2022_11_22@14,17.8,,1.2,76.0,0.0,0.2,,10.0,17.1
2022_11_22@15,16.9,0.1,2.6,75.0,0.0,0.15,,10.0,16.6
2022_11_22@16,16.9,,3.4,87.0,0.0,0.19,,10.0,16.8
2022_11_22@17,16.9,,4.7,88.0,0.0,0.07,,10.0,16.6
2022_11_22@18,15.7,1.4,6.2,95.0,0.0,0.0,,10.0,16.2
2022_11_22@19,15.5,,5.4,96.0,,,,10.0,16.0
2022_11_22@20,15.2,,5.1,94.0,,,,10.0,15.7
2022_11_22@21,15.3,5.9,2.6,94.0,,,,10.0,15.6
2022_11_22@22,15.2,,3.4,93.0,,,,10.0,15.6
2022_11_22@23,15.1,,2.0,95.0,,,,10.0,15.6
2022_11_23@0,15.3,2.4,3.5,96.0,,,,10.0,15.6
2022_11_23@1,15.5,,4.8,96.0,,,,10.0,15.7
2022_11_23@2,15.2,,4.9,95.0,,,,10.0,15.7
2022_11_23@3,15.1,6.4,4.4,95.0,,,,10.0,15.6
2022_11_23@4,15.1,,5.8,92.0,,,,10.0,15.5
2022_11_23@5,15.0,,3.9,90.0,,,,10.0,15.3
2022_11_23@6,15.0,0.5,4.4,88.0,,,,10.0,15.1
2022_11_23@7,15.1,,6.3,81.0,,,,10.0,14.8
2022_11_23@8,15.0,,5.5,85.0,0.0,0.0,,10.0,14.7
2022_11_23@9,15.1,0.0,4.3,79.0,0.0,0.08,,10.0,15.0
2022_11_23@10,15.1,,3.8,83.0,0.0,0.31,,8.0,15.7
2022_11_23@11,15.1,,3.6,82.0,0.0,0.54,,8.0,16.5
2022_11_23@12,15.7,,4.3,76.0,0.2,1.0,,8.0,17.9
2022_11_23@13,16.1,,3.2,75.0,0.1,0.86,,7.0,18.5
2022_11_23@14,15.9,,3.0,76.0,0.0,0.69,,7.0,18.2
2022_11_23@15,15.7,,3.7,76.0,0.0,0.62,,8.0,17.7
2022_11_23@16,15.4,,4.7,74.0,0.0,0.44,,6.0,16.7
2022_11_23@17,14.8,,4.2,72.0,0.2,0.26,,4.0,15.2
2022_11_23@18,14.0,,2.7,67.0,0.2,0.02,,2.0,13.3
2022_11_23@19,13.4,,1.6,59.0,,,,0.0,12.2
2022_11_23@20,12.8,,1.0,70.0,,,,6.0,11.6
2022_11_23@21,12.1,,1.3,67.0,,,,1.0,11.1
2022_11_23@22,11.4,,1.8,68.0,,,,4.0,10.5
2022_11_23@23,11.1,,2.3,68.0,,,,6.0,10.4
2022_11_24@0,11.2,,1.8,66.0,,,,0.0,10.2
2022_11_24@1,10.9,,3.2,67.0,,,,6.0,9.7
2022_11_24@2,10.9,,2.4,67.0,,,,3.0,9.3
2022_11_24@3,10.3,,2.8,69.0,,,,5.0,9.2
2022_11_24@4,10.2,,2.2,72.0,,,,4.0,9.3
2022_11_24@5,10.0,,2.6,75.0,,,,4.0,9.1
2022_11_24@6,9.6,,2.1,77.0,,,,2.0,8.7
2022_11_24@7,9.9,,2.7,73.0,,,,6.0,8.9
2022_11_24@8,10.3,,2.6,73.0,0.0,0.06,,5.0,9.4
2022_11_24@9,12.4,,1.1,74.0,0.6,0.53,,8.0,11.1
2022_11_24@10,14.2,,2.5,75.0,0.1,0.69,,9.0,14.4
2022_11_24@11,16.4,,1.7,66.0,0.7,1.43,,5.0,18.2
2022_11_24@12,16.4,,2.3,66.0,1.0,1.72,,8.0,19.3
2022_11_24@13,17.3,,2.1,62.0,0.8,1.72,,7.0,20.9
2022_11_24@14,17.3,,2.5,60.0,1.0,1.64,,1.0,20.8
2022_11_24@15,17.7,,3.3,59.0,1.0,1.58,,0.0,20.3
2022_11_24@16,16.8,,2.7,58.0,1.0,1.02,,0.0,17.4
2022_11_24@17,15.7,,0.8,62.0,1.0,0.37,,0.0,15.1
2022_11_24@18,13.9,,1.5,72.0,0.1,0.02,,0.0,13.4
2022_11_24@19,12.6,,2.2,67.0,,,,0.0,12.2
2022_11_24@20,11.8,,2.0,60.0,,,,0.0,11.2
2022_11_24@21,11.3,,2.3,60.0,,,,0.0,10.5
2022_11_24@22,11.1,,2.3,63.0,,,,0.0,10.0
2022_11_24@23,10.9,,1.9,63.0,,,,0.0,9.5
2022_11_25@0,10.9,,2.5,67.0,,,,0.0,9.3
2022_11_25@1,10.3,,2.4,64.0,,,,0.0,9.0
2022_11_25@2,10.0,,2.4,67.0,,,,0.0,8.6
2022_11_25@3,10.0,,2.8,64.0,,,,2.0,8.4
2022_11_25@4,10.0,,3.3,62.0,,,,0.0,8.2
2022_11_25@5,9.7,,3.2,57.0,,,,0.0,7.8
2022_11_25@6,9.2,,2.7,59.0,,,,2.0,7.4
2022_11_25@7,9.7,,3.4,51.0,,,,3.0,7.1
2022_11_25@8,10.1,,2.3,47.0,0.0,0.01,,4.0,7.3
2022_11_25@9,12.6,,2.7,44.0,0.6,0.44,,6.0,8.3
2022_11_25@10,17.6,,2.0,43.0,0.8,1.0,,5.0,13.0
2022_11_25@11,19.2,,1.1,40.0,0.8,1.31,,7.0,16.4
2022_11_25@12,21.0,,2.5,29.0,1.0,2.0,,4.0,20.2
2022_11_25@13,21.0,,2.6,34.0,1.0,2.05,,4.0,21.1
2022_11_25@14,21.5,,2.6,40.0,1.0,1.97,,3.0,21.5
2022_11_25@15,21.2,,2.7,45.0,1.0,1.63,,4.0,21.2
2022_11_25@16,20.2,,1.3,49.0,1.0,1.05,,3.0,18.1
2022_11_25@17,18.9,,2.2,51.0,1.0,0.4,,3.0,15.8
2022_11_25@18,17.4,,1.1,60.0,0.2,0.02,,2.0,14.4
2022_11_25@19,15.2,,2.9,65.0,,,,4.0,13.4
2022_11_25@20,14.5,,2.5,65.0,,,,6.0,12.7
2022_11_25@21,14.2,,2.7,65.0,,,,7.0,12.4
2022_11_25@22,14.1,,2.4,67.0,,,,8.0,12.2
2022_11_25@23,14.2,,1.2,69.0,,,,8.0,12.1
2022_11_26@0,14.9,,1.4,76.0,,,,8.0,12.5
2022_11_26@1,16.6,,4.1,81.0,,,,8.0,13.9
2022_11_26@2,16.6,,3.0,79.0,,,,8.0,14.4
2022_11_26@3,15.9,0.0,1.6,84.0,,,,7.0,14.3
2022_11_26@4,15.1,,1.4,88.0,,,,6.0,13.9
2022_11_26@5,14.2,,2.1,89.0,,,,5.0,12.9
2022_11_26@6,13.7,,2.5,88.0,,,,4.0,12.4
2022_11_26@7,13.3,,2.4,87.0,,,,5.0,12.1
2022_11_26@8,13.0,,2.1,85.0,0.0,0.06,,2.0,12.2
2022_11_26@9,15.2,,0.9,79.0,0.5,0.52,,8.0,14.4
2022_11_26@10,16.6,,3.9,78.0,0.1,0.49,,8.0,16.1
2022_11_26@11,17.4,,3.5,76.0,0.3,0.98,,9.0,18.1
2022_11_26@12,16.5,,5.6,58.0,0.1,0.58,,9.0,17.4
2022_11_26@13,17.0,,5.2,51.0,0.2,0.81,,8.0,17.7
2022_11_26@14,18.5,,4.9,51.0,0.9,1.75,,0.0,20.2
2022_11_26@15,17.4,,5.4,50.0,1.0,1.47,,1.0,18.8
2022_11_26@16,17.9,,1.1,50.0,1.0,0.93,,0.0,16.9
2022_11_26@17,16.2,,3.8,56.0,1.0,0.35,,0.0,14.7
2022_11_26@18,14.8,,3.1,59.0,0.0,0.01,,0.0,13.2
2022_11_26@19,14.3,,3.0,58.0,,,,0.0,12.1
2022_11_26@20,14.1,,3.4,59.0,,,,0.0,11.6
2022_11_26@21,12.6,,2.6,63.0,,,,0.0,11.0
2022_11_26@22,11.7,,1.8,67.0,,,,0.0,10.4
2022_11_26@23,11.0,,1.9,70.0,,,,0.0,10.0
2022_11_27@0,10.6,,2.3,67.0,,,,0.0,9.6
2022_11_27@1,10.3,,2.1,68.0,,,,0.0,9.2
2022_11_27@2,10.1,,2.3,68.0,,,,0.0,8.8
2022_11_27@3,9.6,,2.0,70.0,,,,0.0,8.5
2022_11_27@4,9.5,,2.1,70.0,,,,0.0,8.3
2022_11_27@5,9.0,,2.2,71.0,,,,0.0,8.0
2022_11_27@6,9.0,,2.4,68.0,,,,0.0,7.7
2022_11_27@7,9.4,,3.2,59.0,,,,0.0,7.5
2022_11_27@8,10.0,,1.8,57.0,0.0,0.02,,0.0,7.7
2022_11_27@9,12.4,,1.6,53.0,0.7,0.47,,0.0,8.7
2022_11_27@10,16.4,,2.0,48.0,1.0,1.09,,2.0,13.3
2022_11_27@11,16.9,,3.8,50.0,1.0,1.5,,3.0,16.3
2022_11_27@12,17.5,,3.3,54.0,1.0,1.6,,6.0,18.2
2022_11_27@13,18.0,,3.8,56.0,1.0,1.75,,10.0,19.6
2022_11_27@14,18.3,,5.3,60.0,1.0,1.44,,10.0,19.4
2022_11_27@15,19.4,,3.1,49.0,0.8,1.1,,10.0,19.3
2022_11_27@16,18.3,,3.1,56.0,0.0,0.57,,10.0,17.7
2022_11_27@17,17.3,,2.3,60.0,0.0,0.16,,10.0,16.0
2022_11_27@18,16.2,,1.1,65.0,0.0,0.0,,10.0,14.6
2022_11_27@19,15.5,,1.9,67.0,,,,10.0,14.0
2022_11_27@20,15.3,,1.3,67.0,,,,10.0,13.7
2022_11_27@21,15.1,,1.9,67.0,,,,10.0,13.5
2022_11_27@22,16.7,,3.3,72.0,,,,10.0,13.4
2022_11_27@23,16.0,,1.5,61.0,,,,10.0,13.6
2022_11_28@0,15.5,,1.1,55.0,,,,10.0,13.3
2022_11_28@1,15.9,,0.8,58.0,,,,10.0,13.3
2022_11_28@2,16.7,,2.0,66.0,,,,10.0,13.4
2022_11_28@3,19.3,,4.1,75.0,,,,10.0,14.8
2022_11_28@4,19.4,,5.5,77.0,,,,10.0,15.5
2022_11_28@5,18.7,,3.8,80.0,,,,8.0,15.4
2022_11_28@6,18.8,,3.5,83.0,,,,9.0,15.5
2022_11_28@7,21.1,,3.1,52.0,,,,7.0,15.6
2022_11_28@8,22.3,,4.3,47.0,0.0,0.01,,8.0,15.7
2022_11_28@9,21.9,,4.3,61.0,0.3,0.24,,8.0,16.7
2022_11_28@10,22.0,,3.6,65.0,0.1,0.39,,6.0,18.0
2022_11_28@11,23.1,,4.7,67.0,0.7,1.2,,2.0,21.3
2022_11_28@12,24.1,,4.6,57.0,1.0,1.93,,6.0,24.0
2022_11_28@13,25.5,,4.2,46.0,0.8,1.75,,5.0,24.9
2022_11_28@14,26.5,,4.7,43.0,0.5,1.16,,7.0,25.1
2022_11_28@15,26.7,,1.9,49.0,0.9,1.57,,8.0,25.4
2022_11_28@16,24.4,,3.7,60.0,0.3,0.54,,10.0,22.8
2022_11_28@17,23.0,,3.8,69.0,0.0,0.16,,10.0,21.2
2022_11_28@18,23.0,,5.5,70.0,0.0,0.0,,10.0,20.3
2022_11_28@19,22.5,,3.1,76.0,,,,10.0,19.9
2022_11_28@20,22.4,,4.1,77.0,,,,10.0,19.8
2022_11_28@21,21.5,1.1,1.3,90.0,,,,10.0,19.9
2022_11_28@22,20.7,,1.0,95.0,,,,10.0,19.8
2022_11_28@23,20.2,,1.0,97.0,,,,10.0,19.8
2022_11_29@0,19.9,18.3,2.8,98.0,,,,10.0,19.8
2022_11_29@1,21.0,,4.8,96.0,,,,10.0,19.9
2022_11_29@2,20.8,,5.2,95.0,,,,10.0,20.0
2022_11_29@3,20.1,1.4,6.1,98.0,,,,10.0,20.0
2022_11_29@4,19.7,,4.7,99.0,,,,10.0,19.8
2022_11_29@5,19.5,,4.6,99.0,,,,10.0,19.7
2022_11_29@6,18.1,0.7,6.3,99.0,,,,10.0,19.4
2022_11_29@7,17.1,,2.5,95.0,,,,10.0,18.5
2022_11_29@8,16.1,,3.0,94.0,0.0,0.0,,10.0,17.7
2022_11_29@9,16.2,7.2,3.1,94.0,0.0,0.0,,10.0,17.4
2022_11_29@10,15.7,,3.0,98.0,0.0,0.04,,10.0,17.4
2022_11_29@11,15.5,,3.7,97.0,0.0,0.11,,10.0,17.8
2022_11_29@12,15.0,9.3,4.8,89.0,0.0,0.01,,10.0,16.7
2022_11_29@13,14.4,,5.6,84.0,0.0,0.1,,10.0,16.5
2022_11_29@14,14.0,,3.8,77.0,0.0,0.3,,10.0,16.4
2022_11_29@15,13.5,,4.4,61.0,0.0,0.28,,10.0,15.2
2022_11_29@16,12.6,,4.3,64.0,0.0,0.11,,10.0,13.9
2022_11_29@17,11.8,,4.4,64.0,0.0,0.04,,10.0,12.9
2022_11_29@18,10.6,0.0,4.5,67.0,0.0,0.0,,10.0,12.2
2022_11_29@19,10.8,,5.3,56.0,,,,9.0,11.5
2022_11_29@20,10.7,,5.4,55.0,,,,1.0,10.9
2022_11_29@21,10.3,0.0,5.3,64.0,,,,10.0,10.4
2022_11_29@22,10.0,,5.8,66.0,,,,10.0,10.4
2022_11_29@23,9.3,,4.8,66.0,,,,10.0,10.1
2022_11_30@0,8.7,0.0,5.2,72.0,,,,10.0,9.9
2022_11_30@1,8.2,,5.5,72.0,,,,10.0,9.6
2022_11_30@2,8.1,,5.1,68.0,,,,10.0,9.3
2022_11_30@3,8.0,,5.1,71.0,,,,10.0,9.2
2022_11_30@4,7.8,,6.0,74.0,,,,10.0,9.2
2022_11_30@5,7.5,,7.9,71.0,,,,10.0,8.8
2022_11_30@6,7.0,,7.6,71.0,,,,10.0,8.5
2022_11_30@7,6.8,,7.3,69.0,,,,10.0,8.1
2022_11_30@8,6.6,,6.9,67.0,0.0,0.0,,10.0,7.8
2022_11_30@9,6.3,0.0,6.8,70.0,0.0,0.0,,10.0,7.8
2022_11_30@10,6.1,,6.6,66.0,0.0,0.06,,10.0,7.8
2022_11_30@11,5.9,,6.2,66.0,0.0,0.05,,10.0,7.6
2022_11_30@12,5.9,,7.7,70.0,0.0,0.16,,10.0,8.1
2022_11_30@13,5.8,,6.8,62.0,0.0,0.32,,10.0,8.5
2022_11_30@14,5.2,,6.1,64.0,0.0,0.21,,10.0,8.0
2022_11_30@15,5.1,0.0,6.1,64.0,0.0,0.12,,10.0,7.6
2022_11_30@16,4.7,,7.0,69.0,0.0,0.1,,9.0,7.3
2022_11_30@17,4.8,,7.4,70.0,0.0,0.02,,10.0,6.8
2022_11_30@18,4.6,0.0,6.3,71.0,0.0,0.0,,9.0,6.4
2022_11_30@19,4.4,,7.7,68.0,,,,10.0,6.1
2022_11_30@20,4.3,,5.9,66.0,,,,10.0,5.8
2022_11_30@21,4.3,0.0,7.0,65.0,,,,8.0,5.6
2022_11_30@22,4.4,,6.1,67.0,,,,10.0,5.6
2022_11_30@23,4.5,,6.5,69.0,,,,10.0,5.6
2022_12_01@0,4.5,,7.2,66.0,,,,8.0,5.6
2022_12_01@1,4.4,,6.6,71.0,,,,10.0,5.5
2022_12_01@2,4.3,,7.6,67.0,,,,10.0,5.4
2022_12_01@3,4.4,,6.8,72.0,,,,8.0,5.3
2022_12_01@4,4.1,,6.2,66.0,,,,10.0,5.2
2022_12_01@5,4.3,,4.6,66.0,,,,10.0,5.2
2022_12_01@6,4.3,,4.4,67.0,,,,8.0,5.3
2022_12_01@7,4.2,,3.1,66.0,,,,8.0,5.0
2022_12_01@8,4.5,,4.0,67.0,0.0,0.02,,8.0,5.3
2022_12_01@9,5.1,,3.1,66.0,0.0,0.2,,9.0,6.6
2022_12_01@10,5.4,,3.3,64.0,0.0,0.32,,8.0,7.5
2022_12_01@11,6.2,,3.5,64.0,0.1,0.63,,8.0,9.4
2022_12_01@12,5.6,,4.3,65.0,0.0,0.42,,9.0,8.8
2022_12_01@13,5.8,,3.8,66.0,0.0,0.43,,9.0,9.4
2022_12_01@14,6.2,,2.4,62.0,0.0,0.38,,9.0,9.7
2022_12_01@15,6.8,,3.0,60.0,0.2,0.63,,7.0,10.7
2022_12_01@16,6.4,,2.8,63.0,0.1,0.36,,8.0,9.3
2022_12_01@17,6.2,,3.6,63.0,0.3,0.29,,9.0,8.2
2022_12_01@18,5.7,,3.2,64.0,0.0,0.0,,5.0,6.9
2022_12_01@19,5.4,,2.4,62.0,,,,6.0,6.0
2022_12_01@20,5.7,,3.2,57.0,,,,6.0,5.8
2022_12_01@21,5.6,,3.3,58.0,,,,7.0,5.6
2022_12_01@22,5.7,,2.8,58.0,,,,7.0,5.4
2022_12_01@23,5.7,,2.9,58.0,,,,6.0,5.1
2022_12_02@0,6.2,,3.3,59.0,,,,8.0,5.5
2022_12_02@1,6.2,,2.8,58.0,,,,9.0,5.6
2022_12_02@2,6.0,,1.4,61.0,,,,9.0,5.6
2022_12_02@3,5.9,,1.3,63.0,,,,10.0,6.0
2022_12_02@4,7.0,,6.2,79.0,,,,10.0,6.4
2022_12_02@5,6.6,,4.6,76.0,,,,10.0,6.5
2022_12_02@6,6.6,0.0,2.9,74.0,,,,10.0,6.7
2022_12_02@7,5.6,,1.9,84.0,,,,10.0,6.8
2022_12_02@8,5.4,,1.9,83.0,0.0,0.0,,10.0,6.9
2022_12_02@9,5.7,0.1,1.3,79.0,0.0,0.0,,10.0,7.1
2022_12_02@10,6.8,,2.1,61.0,0.0,0.23,,8.0,8.5
2022_12_02@11,8.6,,3.6,52.0,0.6,1.26,,6.0,12.7
2022_12_02@12,8.6,,3.2,55.0,0.4,1.25,,7.0,12.6
2022_12_02@13,8.5,,2.7,55.0,0.1,1.04,,8.0,13.2
2022_12_02@14,8.6,,4.1,54.0,0.0,0.98,,9.0,13.3
2022_12_02@15,10.0,,3.2,50.0,1.0,1.45,,7.0,14.7
2022_12_02@16,9.4,,3.6,52.0,0.8,0.89,,7.0,11.8
2022_12_02@17,8.2,,1.6,58.0,0.3,0.23,,6.0,9.9
2022_12_02@18,7.2,,1.8,63.0,0.0,0.0,,5.0,8.1
2022_12_02@19,6.3,,2.8,65.0,,,,4.0,6.9
2022_12_02@20,5.9,,1.6,66.0,,,,2.0,6.0
2022_12_02@21,5.7,,2.3,68.0,,,,1.0,5.5
2022_12_02@22,5.9,,2.7,70.0,,,,7.0,5.4
2022_12_02@23,6.6,,2.1,73.0,,,,5.0,5.7
2022_12_03@0,7.3,,3.3,76.0,,,,3.0,5.7
2022_12_03@1,5.9,,1.8,75.0,,,,10.0,5.8
2022_12_03@2,6.6,,2.4,73.0,,,,10.0,6.5
2022_12_03@3,7.6,,2.0,75.0,,,,10.0,7.3
2022_12_03@4,8.0,,2.3,73.0,,,,10.0,7.6
2022_12_03@5,8.5,,1.5,77.0,,,,10.0,8.1
2022_12_03@6,8.8,0.0,1.3,81.0,,,,10.0,8.5
2022_12_03@7,9.4,,0.9,81.0,,,,10.0,8.9
2022_12_03@8,9.5,,1.5,84.0,0.0,0.02,,10.0,9.0
2022_12_03@9,9.3,0.2,1.7,89.0,0.0,0.02,,10.0,9.5
2022_12_03@10,9.9,,1.8,90.0,0.0,0.06,,9.0,10.5
2022_12_03@11,10.9,,2.5,87.0,0.0,0.49,,9.0,13.3
2022_12_03@12,11.2,0.0,1.9,88.0,0.0,0.14,,10.0,12.5
2022_12_03@13,11.8,,2.1,87.0,0.0,0.25,,8.0,13.5
2022_12_03@14,11.9,,2.8,87.0,0.0,0.32,,10.0,13.7
2022_12_03@15,12.0,0.0,2.6,86.0,0.0,0.22,,10.0,13.5
2022_12_03@16,12.3,,2.5,84.0,0.0,0.12,,9.0,13.3
2022_12_03@17,12.2,,0.9,84.0,0.0,0.0,,10.0,12.5
2022_12_03@18,12.2,0.0,1.3,86.0,0.0,0.0,,10.0,12.1
2022_12_03@19,12.0,,1.6,87.0,,,,10.0,12.0
2022_12_03@20,11.7,,1.3,89.0,,,,10.0,11.7
2022_12_03@21,11.5,0.4,0.8,92.0,,,,10.0,11.7
2022_12_03@22,11.8,,4.0,84.0,,,,10.0,11.6
2022_12_03@23,11.5,,3.9,83.0,,,,10.0,11.3
2022_12_04@0,10.9,0.7,4.8,86.0,,,,10.0,11.1
2022_12_04@1,10.5,,4.7,85.0,,,,10.0,10.8
2022_12_04@2,10.1,,4.5,83.0,,,,10.0,10.5
2022_12_04@3,9.7,0.3,3.9,79.0,,,,10.0,10.1
2022_12_04@4,9.9,,5.2,75.0,,,,10.0,9.7
2022_12_04@5,9.5,,8.2,78.0,,,,10.0,9.6
2022_12_04@6,8.9,0.0,7.6,78.0,,,,10.0,9.2
2022_12_04@7,8.5,,5.4,77.0,,,,10.0,9.0
2022_12_04@8,8.0,,4.6,73.0,0.0,0.0,,9.0,8.7
2022_12_04@9,7.8,,3.5,70.0,0.0,0.12,,10.0,9.3
2022_12_04@10,8.1,,5.4,73.0,0.0,0.41,,10.0,10.5
2022_12_04@11,7.8,,4.2,66.0,0.0,0.68,,10.0,11.6
2022_12_04@12,8.4,,3.0,64.0,0.1,0.91,,8.0,13.2
2022_12_04@13,8.8,,2.9,61.0,0.0,0.98,,8.0,13.9
2022_12_04@14,8.6,,3.3,60.0,0.0,1.04,,7.0,14.1
2022_12_04@15,8.8,,3.7,57.0,0.3,1.04,,8.0,14.1
2022_12_04@16,8.2,,1.9,57.0,0.0,0.35,,10.0,12.0
2022_12_04@17,8.0,,4.4,58.0,0.0,0.04,,8.0,10.0
2022_12_04@18,7.7,,4.9,56.0,0.0,0.0,,10.0,8.7
2022_12_04@19,7.5,,5.0,56.0,,,,10.0,8.1
2022_12_04@20,7.2,,3.3,55.0,,,,6.0,7.8
2022_12_04@21,6.9,,3.3,56.0,,,,9.0,7.6
2022_12_04@22,6.6,,2.1,58.0,,,,8.0,7.1
2022_12_04@23,6.7,,3.2,55.0,,,,10.0,6.8
2022_12_05@0,6.8,,3.4,51.0,,,,9.0,6.8
2022_12_05@1,6.6,,4.3,52.0,,,,9.0,6.5
2022_12_05@2,6.5,,4.3,54.0,,,,10.0,6.3
2022_12_05@3,6.2,,4.4,58.0,,,,10.0,6.3
2022_12_05@4,6.0,,6.3,65.0,,,,10.0,6.3
2022_12_05@5,5.7,,7.1,64.0,,,,10.0,6.1
2022_12_05@6,5.6,,6.0,68.0,,,,10.0,5.9
2022_12_05@7,5.4,,5.3,65.0,,,,9.0,5.8
2022_12_05@8,5.3,,4.6,65.0,0.0,0.0,,9.0,5.9
2022_12_05@9,5.7,,4.9,67.0,0.0,0.08,,10.0,6.6
2022_12_05@10,5.8,,4.2,60.0,0.0,0.33,,10.0,7.6
2022_12_05@11,6.3,,5.4,64.0,0.1,0.61,,7.0,8.7
2022_12_05@12,6.4,,5.5,63.0,0.0,0.66,,10.0,9.3
2022_12_05@13,6.3,,5.2,59.0,0.0,0.66,,8.0,9.8
2022_12_05@14,7.5,,3.8,59.0,0.2,1.1,,8.0,11.7
2022_12_05@15,7.3,,4.1,54.0,0.5,1.08,,7.0,11.7
2022_12_05@16,6.7,,4.4,60.0,0.4,0.54,,7.0,9.2
2022_12_05@17,6.1,,5.6,58.0,0.5,0.26,,4.0,7.4
2022_12_05@18,5.7,,6.1,60.0,0.0,0.01,,3.0,5.8
2022_12_05@19,5.4,,5.0,67.0,,,,2.0,5.4
2022_12_05@20,5.2,,6.5,63.0,,,,1.0,4.7
2022_12_05@21,5.2,,6.0,60.0,,,,4.0,4.3
2022_12_05@22,5.0,,5.8,56.0,,,,1.0,3.9
2022_12_05@23,4.6,,5.5,58.0,,,,1.0,3.5
2022_12_06@0,4.6,,5.9,58.0,,,,3.0,3.3
2022_12_06@1,5.0,,6.6,55.0,,,,0.0,3.2
2022_12_06@2,4.9,,4.4,59.0,,,,1.0,3.1
2022_12_06@3,5.0,,4.3,66.0,,,,3.0,3.0
2022_12_06@4,4.8,,2.3,65.0,,,,2.0,3.0
2022_12_06@5,3.8,,2.5,68.0,,,,3.0,2.6
2022_12_06@6,4.3,,1.3,67.0,,,,7.0,3.4
2022_12_06@7,4.6,,2.8,65.0,,,,7.0,3.7
2022_12_06@8,6.0,,2.7,64.0,0.0,0.0,,9.0,4.7
2022_12_06@9,8.7,,5.5,54.0,0.0,0.03,,9.0,5.9
2022_12_06@10,9.8,,5.6,46.0,0.3,0.62,,8.0,8.0
2022_12_06@11,10.6,,5.2,52.0,0.3,0.86,,7.0,10.0
2022_12_06@12,12.0,,5.1,45.0,0.8,1.73,,8.0,14.2
2022_12_06@13,11.3,,5.6,52.0,0.4,1.29,,9.0,13.9
2022_12_06@14,12.1,,4.8,50.0,0.6,1.29,,7.0,14.9
2022_12_06@15,11.7,,5.0,48.0,0.6,1.12,,6.0,13.5
2022_12_06@16,11.4,,5.7,49.0,0.6,0.69,,8.0,11.7
2022_12_06@17,10.5,,6.0,51.0,0.2,0.14,,8.0,10.0
2022_12_06@18,10.0,,5.1,51.0,0.0,0.0,,6.0,8.6
2022_12_06@19,9.6,,5.3,52.0,,,,2.0,7.8
2022_12_06@20,9.1,,3.4,56.0,,,,6.0,7.2
2022_12_06@21,8.9,,3.3,54.0,,,,4.0,6.7
2022_12_06@22,8.9,,4.1,52.0,,,,4.0,6.4
2022_12_06@23,8.5,,2.7,54.0,,,,8.0,6.3
2022_12_07@0,7.8,,2.6,58.0,,,,6.0,5.9
2022_12_07@1,7.7,,2.4,59.0,,,,6.0,6.1
2022_12_07@2,8.3,,3.2,60.0,,,,9.0,6.2
2022_12_07@3,9.2,,3.3,60.0,,,,8.0,6.7
2022_12_07@4,8.7,,3.0,64.0,,,,9.0,6.8
2022_12_07@5,8.6,,2.4,65.0,,,,9.0,6.9
2022_12_07@6,9.1,,1.7,65.0,,,,9.0,7.4
2022_12_07@7,10.8,,4.2,59.0,,,,9.0,7.9
2022_12_07@8,11.1,,4.9,62.0,0.0,0.0,,9.0,8.2
2022_12_07@9,11.2,,4.7,61.0,0.0,0.08,,9.0,8.8
